W012002720	2010-08-04	CENTRE D'INFORMATION SUR LA PREVENTION DES DIFFICULTES DES ENTREPRISES DE L'AIN (CIP DE L'AIN)	023000	REPRÉSENTATION, PROMOTION ET DÉFENSE D'INTÉRÊTS ÉCONOMIQUES	01053	01	01000	BOURG-EN-BRESSE	HOMME	false		false	200	1
W012002725	1960-01-20	UNION DEPARTEMENTALE DES SAPEURS POMPIERS DE L'AIN	036510		01053	01	01000	BOURG-EN-BRESSE	FEMME	false		false	1345	2
W012002813	1985-01-21	MAISON DE PAYS EN BRESSE	024035	ENVIRONNEMENT,  CADRE DE VIE	01350	01	01370	SAINT-ÉTIENNE-DU-BOIS	FEMME	false		false	2800	1
W012002816	1983-11-03	MISSION LOCALE JEUNES BRESSE, DOMBES, COTIERE	030000	AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE	01053	01	01000	BOURG-EN-BRESSE	HOMME	false		false	876746	7
W012002939	1972-03-17	FRANCE NATURE ENVIRONNEMENT AIN	024000	ENVIRONNEMENT,  CADRE DE VIE	01053	01	01000	BOURG-EN-BRESSE	FEMME	false		false	1460	2
W012003219	1986-07-11	UNION REGIONALE DES FOYERS RURAUX RHÔNE-ALPES  (URFR  RHÔNE-ALPES)	009035	ACTION SOCIOCULTURELLE	07341	07	07170	VILLENEUVE-DE-BERG	HOMME	false		false	2000	1
W012003452	1993-06-26	GARDE ACCUEIL BEYNOST INITIATIVES (GABI)	009005	ACTION SOCIOCULTURELLE	01043	01	01700	BEYNOST	HOMME	false		false	5500	1
W012003600	1985-02-21	ASSOCIATION CULTURELLE ACCUEIL DES FAMILLES ET AMIS DES DETENUS - ACAFAD	009000	ACTION SOCIOCULTURELLE	01053	01	01000	BOURG-EN-BRESSE	NON RENSEIGNE	true		false	11000	2
W012003711	1970-05-29	COMITÉ DÉPARTEMENTAL DE SPÉLÉOLOGIE DE L'AIN	016050	RECHERCHE	01053	01	01000	BOURG-EN-BRESSE	HOMME	false		false	1500	1
W012003965	1975-11-06	FAMILLES RURALES-FEDERATION DEPARTEMENTALE DE L'AIN	019000	INTERVENTIONS SOCIALES	01053	01	01000	BOURG-EN-BRESSE	FEMME	true		false	35264	2
