01378	SAINT-MAURICE-DE-GOURDANS	55	2699
01379	SAINT-MAURICE-DE-RÉMENS	24	771
01380	SAINT-NIZIER-LE-BOUCHOUX	22	645
01381	SAINT-NIZIER-LE-DÉSERT	16	939
01382	SAINTE-OLIVE	13	281
01383	SAINT-PAUL-DE-VARAX	37	1583
01384	SAINT-RAMBERT-EN-BUGEY	84	2221
01385	SAINT-RÉMY	33	1008
01386	SAINT-SORLIN-EN-BUGEY	38	1193
01387	SAINT-SULPICE	5	259
01388	SAINT-TRIVIER-DE-COURTES	68	1111
01389	SAINT-TRIVIER-SUR-MOIGNANS	88	1877
01390	SAINT-VULBAS	65	1267
01391	SALAVRE	13	279
01392	SAMOGNAT	12	683
01393	SANDRANS	16	549
01396	SAULT-BRÉNAZ	23	990
01397	SAUVERNY	22	997
01398	SAVIGNEUX	43	1438
01399	SÉGNY	33	2158
01400	SEILLONNAZ	4	142
01401	SERGY	41	2238
01402	SERMOYER	19	672
01403	SERRIÈRES-DE-BRIORD	35	1336
01404	SERRIÈRES-SUR-AIN	9	137
01405	SERVAS	28	1309
01406	SERVIGNAT	5	175
01407	SEYSSEL	23	1020
01408	SIMANDRE-SUR-SURAN	41	673
01410	SONTHONNAX-LA-MONTAGNE	8	307
01411	SOUCLIN	8	279
01412	SULIGNAT	18	607
01415	TALISSIEU	12	505
01416	TENAY	26	1025
01418	THIL	27	1114
01419	THOIRY	103	6197
01420	THOISSEY	49	1698
01421	TORCIEU	21	745
01422	TOSSIAT	65	1391
01423	TOUSSIEUX	25	1145
01424	TRAMOYES	36	1819
01425	LA TRANCLIÈRE	9	295
01426	VAL-REVERMONT	116	2597
01427	TRÉVOUX	210	7084
01428	VALEINS	5	127
01429	VANDEINS	17	720
01430	VARAMBON	14	631
01431	VAUX-EN-BUGEY	39	1257
01432	VERJON	14	325
01433	VERNOUX	6	317
01434	VERSAILLEUX	12	482
01435	VERSONNEX	37	2226
01436	VESANCY	11	492
01437	VESCOURS	7	228
01439	VÉSINES	3	103
01441	VIEU-D'IZENAVE	19	752
01443	VILLARS-LES-DOMBES	193	5073
01444	VILLEBOIS	36	1213
01445	VILLEMOTIER	21	636
01446	VILLENEUVE	50	1585
01447	VILLEREVERSURE	46	1374
01448	VILLES	7	397
01449	VILLETTE-SUR-AIN	32	773
01450	VILLIEU-LOYES-MOLLON	94	3784
01451	VIRIAT	266	6745
01452	VIRIEU-LE-GRAND	39	1156
01453	ARVIÈRE-EN-VALROMEY	7	733
01454	VIRIGNIN	21	1133
01456	VONGNES	4	73
01457	VONNAS	119	3240
02001	ABBÉCOURT	6	513
02002	ACHERY	12	618
02003	ACY	20	1045
02004	AGNICOURT-ET-SÉCHELLES	1	187
02005	AGUILCOURT	6	388
02006	AISONVILLE-ET-BERNOVILLE	6	271
02007	AIZELLES	2	123
02008	AIZY-JOUY	8	298
02009	ALAINCOURT	12	540
02010	ALLEMANT	3	177
02011	AMBLENY	31	1192
02012	AMBRIEF	3	71
02013	AMIFONTAINE	8	395
02014	AMIGNY-ROUY	17	752
02015	ANCIENVILLE	3	73
02016	ANDELAIN	3	225
02017	ANGUILCOURT-LE-SART	9	327
02018	ANIZY-LE-GRAND	52	2627
02019	ANNOIS	6	367
02020	ANY-MARTIN-RIEUX	9	463
02021	ARCHON	2	87
02022	ARCY-SAINTE-RESTITUE	8	409
02023	ARMENTIÈRES-SUR-OURCQ	6	105
02024	ARRANCY	2	51
02025	ARTEMPS	11	369
02027	ASSIS-SUR-SERRE	5	221
02028	ATHIES-SOUS-LAON	27	2666
02029	ATTILLY	4	366
02030	AUBENCHEUL-AUX-BOIS	3	261
02031	AUBENTON	32	667
02032	AUBIGNY-AUX-KAISNES	2	257
02033	AUBIGNY-EN-LAONNOIS	3	106
02034	AUDIGNICOURT	3	125
02035	AUDIGNY	7	289
02036	AUGY	1	73
02037	AULNOIS-SOUS-LAON	22	1416
02038	LES AUTELS	1	59
02039	AUTREMENCOURT	2	176
02040	AUTREPPES	8	183
02041	AUTREVILLE	4	822
02042	AZY-SUR-MARNE	3	386
02044	BANCIGNY	3	25
02046	BARENTON-BUGNY	29	566
02047	BARENTON-CEL	2	113
02048	BARENTON-SUR-SERRE	4	137
02049	BARISIS-AUX-BOIS	10	752
02050	BARZY-EN-THIÉRACHE	9	325
02051	BARZY-SUR-MARNE	7	397
02052	BASSOLES-AULERS	3	141
02053	VALLÉES EN CHAMPAGNE	22	577
02054	BAZOCHES-SUR-VESLES	7	465
02055	BEAUMÉ	2	90
02056	BEAUMONT-EN-BEINE	3	180
02057	BEAUREVOIR	30	1424
02058	BEAURIEUX	13	866
02059	BEAUTOR	35	2742
02060	BEAUVOIS-EN-VERMANDOIS	6	264
02061	BECQUIGNY	3	253
02062	BELLEAU	5	141
02063	BELLENGLISE	6	386
02064	BELLEU	56	3885
02065	BELLICOURT	9	613
02066	BENAY	2	198
02067	BERGUES-SUR-SAMBRE	7	215
02068	BERLANCOURT	4	92
02069	BERLISE	2	107
02070	BERNOT	7	457
02071	BERNY-RIVIÈRE	10	673
02072	BERRIEUX	3	188
02073	BERRY-AU-BAC	11	674
02074	BERTAUCOURT-EPOURDON	12	603
02075	BERTHENICOURT	2	197
02076	BERTRICOURT	5	155
02077	BERZY-LE-SEC	7	388
02078	BESMÉ	2	166
02079	BESMONT	2	149
02080	BESNY-ET-LOIZY	4	342
02081	BÉTHANCOURT-EN-VAUX	10	442
02082	BEUGNEUX	1	110
02083	BEUVARDES	22	765
02084	BÉZU-LE-GUÉRY	14	262
02085	BÉZU-SAINT-GERMAIN	14	1040
02086	BICHANCOURT	16	1017
02088	BIÈVRES	5	95
02089	BILLY-SUR-AISNE	16	1169
02090	BILLY-SUR-OURCQ	3	217
02091	BLANZY-LÈS-FISMES	2	96
02093	BLÉRANCOURT	22	1357
02094	BLESMES	9	473
02095	BOHAIN-EN-VERMANDOIS	85	5764
02096	BOIS-LÈS-PARGNY	2	200
02097	BONCOURT	5	258
02098	BONNEIL	10	393
02099	BONNESVALYN	5	226
02100	BONY	2	138
02101	BOSMONT-SUR-SERRE	6	197
02102	BOUCONVILLE-VAUCLAIR	4	197
02103	BOUÉ	43	1355
02104	BOUFFIGNEREUX	2	103
02105	BOURESCHES	11	198
02106	BOURG-ET-COMIN	20	822
02108	BOURGUIGNON-SOUS-MONTBAVIN	4	163
02109	LA BOUTEILLE	19	485
02110	BRAINE	54	2260
02111	BRANCOURT-EN-LAONNOIS	9	732
02112	BRANCOURT-LE-GRAND	12	566
02114	BRASLES	53	1600
02115	BRAYE-EN-LAONNOIS	2	196
02116	BRAYE-EN-THIÉRACHE	4	148
02117	BRAY-SAINT-CHRISTOPHE	1	68
02118	BRAYE	3	131
02119	BRÉCY	16	333
02120	BRENELLE	2	202
02121	BRENY	3	244
02122	BRIE	1	55
02123	BRISSAY-CHOIGNY	5	306
02124	BRISSY-HAMÉGICOURT	13	661
02125	BRUMETZ	7	204
02126	BRUNEHAMEL	12	460
02127	BRUYÈRES-SUR-FÈRE	7	197
02128	BRUYÈRES-ET-MONTBÉRAULT	26	1522
02129	BRUYS	3	18
02130	BUCILLY	12	201
02131	BUCY-LE-LONG	26	1903
02132	BUCY-LÈS-CERNY	1	197
02133	BUCY-LÈS-PIERREPONT	7	413
02134	BUIRE	18	880
02135	BUIRONFOSSE	22	1174
02136	BURELLES	3	131
02137	BUSSIARES	4	160
02138	BUZANCY	3	203
02139	CAILLOUËL-CRÉPIGNY	7	447
02140	CAMELIN	5	463
02141	LA CAPELLE	75	1857
02142	CASTRES	8	258
02143	LE CATELET	3	191
02144	CAULAINCOURT	3	147
02145	CAUMONT	16	555
02146	CELLES-LÈS-CONDÉ	6	95
02148	CELLES-SUR-AISNE	3	257
02149	CERIZY	1	64
02150	CERNY-EN-LAONNOIS	6	63
02151	CERNY-LÈS-BUCY	2	119
02153	CESSIÈRES-SUZY	8	784
02154	CHACRISE	6	372
02155	CHAILLEVOIS	1	171
02156	CHALANDRY	3	258
02157	CHAMBRY	14	859
02158	CHAMOUILLE	10	275
02159	CHAMPS	6	297
02160	CHAOURSE	8	556
02162	LA CHAPELLE-SUR-CHÉZY	4	299
02163	CHARLY-SUR-MARNE	84	2627
02164	LE CHARMEL	11	332
02165	CHARMES	27	1680
02166	CHARTÈVES	13	365
02167	CHASSEMY	16	904
02168	CHÂTEAU-THIERRY	647	15616
02169	CHÂTILLON-LÈS-SONS	3	84
02170	CHÂTILLON-SUR-OISE	2	125
02171	CHAUDARDES	1	89
02172	CHAUDUN	6	261
02173	CHAUNY	226	12072
02174	CHAVIGNON	23	845
02175	CHAVIGNY	3	165
02176	CHAVONNE	4	209
02177	CHÉRÊT	3	141
02178	CHERMIZY-AILLES	3	108
02179	CHÉRY-CHARTREUVE	3	393
02180	CHÉRY-LÈS-POUILLY	15	735
02182	CHEVENNES	1	120
02183	CHEVREGNY	4	186
02184	CHEVRESIS-MONCEAU	4	356
02185	CHÉZY-EN-ORXOIS	14	405
02186	CHÉZY-SUR-MARNE	41	1396
02187	CHIERRY	25	1149
02188	CHIGNY	6	151
02189	CHIVRES-EN-LAONNOIS	8	358
02190	CHIVRES-VAL	9	530
02191	CHIVY-LÈS-ÉTOUVELLES	6	528
02192	CHOUY	9	378
02193	CIERGES	3	66
02194	CILLY	4	194
02195	CIRY-SALSOGNE	19	935
02196	CLACY-ET-THIERRET	4	318
02197	CLAIRFONTAINE	9	637
02198	CLAMECY	2	230
02199	CLASTRES	11	609
02200	CLERMONT-LES-FERMES	1	107
02201	CŒUVRES-ET-VALSERY	12	447
02203	COINCY	32	1302
02204	COINGT	1	67
02205	COLLIGIS-CRANDELAIN	4	232
02206	COLONFAY	2	79
02207	COMMENCHON	4	219
02208	CONCEVREUX	4	273
02209	CONDÉ-EN-BRIE	33	719
02210	CONDÉ-SUR-AISNE	12	370
02211	CONDÉ-SUR-SUIPPE	5	297
02212	CONDREN	15	719
02213	CONNIGIS	6	345
02214	CONTESCOURT	1	62
02215	CORBENY	25	847
02216	CORCY	6	298
02217	COUCY-LE-CHÂTEAU-AUFFRIQUE	50	1001
02218	COUCY-LÈS-EPPES	15	640
02219	COUCY-LA-VILLE	8	272
02220	COULONGES-COHAN	19	451
02221	COUPRU	4	156
02222	COURBES	2	32
02223	COURBOIN	10	313
02224	COURCELLES-SUR-VESLE	4	350
02225	COURCHAMPS	2	86
02226	COURMELLES	25	1893
02227	COURMONT	3	121
02228	COURTEMONT-VARENNES	9	345
02229	COURTRIZY-ET-FUSSIGNY	3	71
02230	COUVRELLES	5	192
02231	COUVRON-ET-AUMENCOURT	18	950
02232	COYOLLES	7	372
02233	CRAMAILLE	1	153
02234	CRAONNE	6	84
02235	CRAONNELLE	6	118
02236	CRÉCY-AU-MONT	14	333
02237	CRÉCY-SUR-SERRE	31	1518
02238	CRÉPY	27	1847
02239	CRÉZANCY	30	1329
02240	CROIX-FONSOMME	1	221
02241	LA CROIX-SUR-OURCQ	6	99
02242	CROUTTES-SUR-MARNE	35	652
02243	CROUY	43	2970
02244	CRUPILLY	2	66
02245	CUFFIES	36	1840
02246	CUGNY	10	615
02248	CUIRIEUX	4	159
02249	CUIRY-HOUSSE	5	100
02250	CUIRY-LÈS-CHAUDARDES	1	77
02252	CUISSY-ET-GENY	1	73
02253	CUISY-EN-ALMONT	6	361
02254	CUTRY	2	134
02255	CYS-LA-COMMUNE	3	155
02256	DAGNY-LAMBERCY	2	132
02257	DALLON	10	450
02258	DAMMARD	11	383
02259	DAMPLEUX	4	407
02260	DANIZY	8	661
02261	DERCY	8	400
