W751004586	false	1934-04-09	1984-09-08		ACADEMIE DES SPORTS	011000		75116	75	75016	PARIS 16E	FRANCE	HOMME	false	ACTIVE	011000	SPORTS, ACTIVITÉS DE PLEIN AIR	011000	SPORTS, ACTIVITÉS DE PLEIN AIR		ACADEMIE DES SPORTS	29/05/1910
W362003212	false	1933-01-07	2013-08-14		ACADEMIE DU CENTRE	006000		36044	36	36000	CHÂTEAUROUX	FRANCE	HOMME	false	ACTIVE	006000	CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES	006000	CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES	W362003212	ACADEMIE DU CENTRE	09/08/1972
W832000355	false	1909-12-29	2020-06-29		ACADEMIE DU VAR	002015	050000	83137	83	83000	TOULON	FRANCE	HOMME	false	ACTIVE	002000	CLUBS, CERCLES DE RÉFLEXION	002015	clubs de réflexion		ACADEMIE DU VAR	25/06/1933
W741003276	false	1901-01-01	2018-04-19		ACADEMIE FLORIMONTANE	010015		74010	74	74002	ANNECY CEDEX	FRANCE	HOMME	false	ACTIVE	010000	PRÉSERVATION DU PATRIMOINE	010015	associations, sociétés savantes pour des études historiques, histoire du patrimoine		ACADEMIE FLORIMONTANE	17/12/1896
W543008064	false	1912-05-11	2019-03-19		ACADEMIE LORRAINE DES SCIENCES	015050		54395	54	54000	NANCY	FRANCE	HOMME	false	ACTIVE	015000	ÉDUCATION  FORMATION	015050	centre d'enseignement et de formation		ACADEMIE LORRAINE DES SCIENCES	26/04/1968
W759000038	false	1935-11-29	1997-07-10		ACADEMIE NATIONALE DE CHIRURGIE	017000		75106	75	75006	PARIS	FRANCE	HOMME	false	ACTIVE	017000	SANTÉ	017000	SANTÉ		ACADEMIE NATIONALE DE CHIRURGIE	29/08/1859
W751038910	false	1956-07-09	1956-07-09		ACADEMIE NATIONALE DE CHIRURGIE DENTAIRE	015045		75116	75	75016	PARIS	FRANCE	HOMME	false	ACTIVE	015000	ÉDUCATION  FORMATION	015045	établissement de formation professionnelle, de formation continue		ACADEMIE NATIONALE DE CHIRURGIE DENTAIRE	23/07/1964
W513004174	false	1901-07-01	2019-05-06		ACADEMIE NATIONALE DE REIMS	006100		51454	51	51100	REIMS	FRANCE	HOMME	false	ACTIVE	006000	CULTURE, PRATIQUES D'ACTIVITÉS ARTISTIQUES, PRATIQUES CULTURELLES	006100	promotion de l'art et des artistes		ACADEMIE NATIONALE DE REIMS	15/12/1846
W741004005	false	1930-05-15	2021-12-17		ACADEMIE SALESIENNE	010015		74010	74	74000	ANNECY	FRANCE	HOMME	false	ACTIVE	010000	PRÉSERVATION DU PATRIMOINE	010015	associations, sociétés savantes pour des études historiques, histoire du patrimoine		ACADEMIE SALESIENNE	23/02/1979
W751027557	false	1928-01-08	1928-01-08		ACADEMIE VETERINAIRE DE FRANCE	017000		75111	75	75011	PARIS	FRANCE	HOMME	false	ACTIVE	017000	SANTÉ	017000	SANTÉ		ACADEMIE VETERINAIRE DE FRANCE	16/04/1878
W732005223	false	2015-12-21	2021-06-18		ACCUEIL SAVOIE HANDICAP	019000		73222	73	73230	SAINT-ALBAN-LEYSSE	FRANCE	HOMME	true	ACTIVE	019000	INTERVENTIONS SOCIALES	019000	INTERVENTIONS SOCIALES		ACCUEIL SAVOIE HANDICAP	11/04/1923
W691089499	false	1901-07-01	2022-02-10		ACOLEA	015105		69383	69	69003	LYON	FRANCE	HOMME	false	ACTIVE	015000	ÉDUCATION  FORMATION	015105	maisons familiales rurales		ACOLEA	31/03/1894
W759000004	false	1929-07-11	1929-07-11		ACTION PRIVEE EN FAVEUR DU MONDE CULTUREL	009000		75116	75	75016	PARIS	FRANCE	HOMME	false	ACTIVE	009000	ACTION SOCIOCULTURELLE	009000	ACTION SOCIOCULTURELLE		ACTION PRIVEE EN FAVEUR DU MONDE CULTUREL	05/07/1930
W751136051	false	1998-06-26	2003-05-26		AERO CLUB DE FRANCE	011000		75116	75	75016	PARIS	FRANCE	FEMME	false	ACTIVE	011000	SPORTS, ACTIVITÉS DE PLEIN AIR	011000	SPORTS, ACTIVITÉS DE PLEIN AIR		AERO CLUB DE FRANCE	20/04/1909
W023000708	false	1927-12-08	2018-07-10		AERO-CLUB DE L'AISNE	011135		02658	02	02590	ROUPY	FRANCE	HOMME	false	ACTIVE	011000	SPORTS, ACTIVITÉS DE PLEIN AIR	011135	sports aériens  (avion, planeur, ULM, parachutisme)	W023000708	AERO-CLUB DE L'AISNE	09/03/1939
W313003624	false	1950-06-16	2021-06-08		AGIR SOIGNER EDUQUER INSERER	017125	017125	31446	31	31520	RAMONVILLE-SAINT-AGNE	FRANCE	FEMME	false	ACTIVE	017000	SANTÉ	017125	prévention de maladies, dépistage de maladies (autres que le sida)	W313003624	AGIR SOIGNER EDUQUER INSERER	26/10/1959
W162000377	false	1982-02-15	2021-12-09	2021-12-01	ALCOOL ASSISTANCE	014000	019040	16015	16	16000	ANGOULÊME	FRANCE	HOMME	false	DISSOLUE	014000	AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)	014000	AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)		ALCOOL ASSISTANCE	06/05/1966
